word,explanation
personnel,"KK[͵pɝsnˋɛl]
DJ[͵pə:səˋnel]
n.[G]
n.[G]
（總稱）人員，員工
All personnel of the company are eligible for the retirement plan. 公司所有員工都有資格參加這項退休計畫。
人事部門；人事課（或室等）[U]
Please contact the personnel director for benefit information. 有關福利方面的情況請與人事課長聯繫。
n. 全體人員，全體職員，勞動力；軍隊，戰鬥力
【軍】人員運輸車，兵員運輸車
人事制度；人事系統
人事部
人員管理
人事制度；人事系統
【軍】人員運輸車，兵員運輸車
人員管理
IPA[ˌpɜːsəˈnel]
員工
U全體人員
PyDict"
beware,"KK[bɪˋwɛr]
DJ[biˋwɛə]
vi.
不及物動詞
當心，小心[（+of/lest）]
Beware of pickpockets. 當心扒手。
vt.
及物動詞
注意，提防[+wh-][+that]
Julius Caesar was advised to beware the eye of March before he was murdered. 凱撒大帝在被刺殺前就被警告說要謹防三月的眼睛（三月十五日）。
Beware how you handle the toxic chemical. 小心處理有毒的化學藥品。
vi. 當心，小心
注意, 小心
We must beware of the sharpers at the fair. 我們必須當心市集上的騙子。
小心……；謹防……
小心……；謹防……
謹訪,當心
PyDict
IPA[bɪˈweə(r)]
當心
小心
you must beware of losing your wallet 你得提防丟錢包
‘beware of pickpockets’ “當心扒手”
謹防
beware doing sth./that ...  提防做某事／提防…
beware taking your parents for granted 別把你的父母不當回事
注意,當心,謹防
PyDict"
foist,"KK[fɔɪst]
DJ[fɔist]
過去式：foisted   過去分詞：foisted   現在分詞：foisting
vt.
及物動詞
採用欺騙手段出售
偷偷加進；使混入；把……強加（於），強迫接受
I hate to foist it upon you, but can you do me a favor? 我實在不願強迫你，但你可不可以幫我一個忙？
foist的動詞過去式、過去分詞
採用欺騙手段出售(假貨、次品等)
The shopkeeper foisted costly and inferior goods on his customers. 店主採用欺騙手段把質次價高的商品賣給顧客。
採用欺騙手段出售(假貨、次品等)
The shopkeeper foisted costly and inferior goods upon his customers. 店主採用欺騙手段把質次價高的商品賣給顧客。
把……強加於
Five minutes before the boat capsized, the passengers were foisting the captain on abandoning the ship. 在船傾覆五分鐘前，船上的旅客還在強迫船長棄船。
把……強加於
Five minutes before the boat capsized, the passengers were foisting the captain on abandoning the ship. 在船傾覆五分鐘前，船上的旅客還在強迫船長棄船。
騙售
PyDict
塞進
PyDict
IPA[fɔɪst]
把…強加於
to foist sth. on or on to sb.  強迫某人接受
she's always foisting herself on me when I'd rather be alone 當我想要獨處的時候，她總是纏著我
偷偷插入,使混入,硬賣給
PyDict"
petitions,"請願；請願書[（+for/against）]
A thousand people signed the petition. 一千人在請願書上簽了名。
向……請願；請求；祈求[（+for）][O2]
They petitioned the Government for the release of the political prisoners. 他們向政府請願要求釋放政治犯。
請願；請求[（+for）][+to-v]
They petitioned for pardon. 他們請願要求赦免。
petition的動詞過去式、過去分詞
請願書
to get up a petition (for/against sth.)  組織請願（要求／反對某事物）
to present a petition (to sb.) （向某人）遞交請願書
請求
to petition (sb.) for sth.  請求（某人）做某事
they petitioned Parliament for a change in the law 他們向議會請願，要求修改法律
請願,訴狀,陳情書請求,懇求,請願
PyDict
請求赦免
PyDict
提出申請
PyDict
向政府上書要求…
PyDict
向…提出申請
PyDict
向上天祈禱
PyDict"
prevalent,"KK[ˋprɛvələnt]
DJ[ˋprevələnt]
adj.
形容詞
流行的，盛行的；普遍的[（+among/in）]
They were brought up in the liberal atmosphere prevalent in the 1960s. 他們在六十年代盛行的自由氣氛中長大。
【罕】優勢的
a. 盛行的；普遍的
IPA[ˈprevələnt]
流行的; 普遍的
普遍的,流行的
PyDict"
sessions,"（議會等的）開會；（法庭的）開庭[U]
When will the court be in session? 法庭何時開庭？
集會; 開庭; 會議
to go into closed or private session 召開秘密會議
the court is in session 法庭正在開庭
會議,會期,學期,上課期間,開庭期
PyDict
【美】【俚】（尤指就專題進行的）討論會，座談會
每季開審的地方法庭
【美】【俚】（尤指就專題進行的）討論會，座談會
每季開審的地方法庭
簡易法庭
地方法庭
PyDict"
counsel,"KK[ˋkaʊns!]
DJ[ˋkaunsəl]
名詞複數：counsel
動詞變化：counseled /  counselled / counseled /  counselled / counseling /  counselling
n.
名詞
商議，審議[U]
She took counsel with her lawyer. 她與她的律師商量。
忠告，勸告[U]
He followed my counsel. 他聽取了我的忠告。
計畫，決策
The counsel to build a new airport was approved. 新建一個機場的計畫獲得批准。
律師，辯護人[C][M][J]
vt.
及物動詞
勸告，忠告；提議[（+on）][O2]
His job is to counsel students on how to choose a career. 他的工作是輔導學生就業。
vi.
不及物動詞
商議，勸告
She counseled with her husband about the problem. 她同丈夫商量了這個問題。
vt. 勸告，忠告；提議
= counseling
counsel的動詞過去式、過去分詞
counsel的動詞過去式、過去分詞
諮詢
【美】（公司的）法律總顧問；大律師
【美】（公司的）法律總顧問；大律師
主控律師
使亂上加亂,添亂子
PyDict
IPA[ˈkaʊnsl]
勸告
to follow sb.'s counsel 聽從某人的勸告
to keep one's own counsel 不透露自己的意見
向…提供專業諮詢
to counsel sb. about or on sth. 就某事物向某人提供諮詢"
reminder,"KK[rɪˋmaɪndɚ]
DJ[riˋmaində]
名詞複數：reminders
n.[C]
可數名詞
提醒者，提醒物，令人回憶的東西
提示，幫助記憶的記號
催函，催單
I've had another reminder from the library. 我又收到圖書館的催促還書的來函。
reminder的名詞複數
有益的提醒
Telling you to talk less is only a salutary reminder, nothing more. 叫你少說話只是個有益的提醒，沒別的意思。
有益的提醒
Telling you to talk less is only a salutary reminder, nothing more. 叫你少說話只是個有益的提醒，沒別的意思。
IPA[rɪˈmaɪndə(r)]
提醒人的事物; 提示
to receive a reminder 收到通知單
to send/write a reminder 送／寫通知單
起提醒作用的東西
PyDict"
reinforce,"KK[͵riɪnˋfɔrs]
DJ[͵ri:inˋfɔ:s]
過去式：reinforced   過去分詞：reinforced   現在分詞：reinforcing
vt.
及物動詞
增援，加強
The general reinforced the fort with more troops. 將軍派更多的軍隊增援要塞。
增加，補充
加固
強化，加深；使更具說服力
Newspapers like this tend to reinforce people's prejudices. 像這樣的報紙往往加深人們的偏見。
【心】強化（對刺激的反應）；強化刺激（人、動物等）
vt. 增加；增強
reinforce的動詞過去式、過去分詞
強化的
PyDict
【化】強化玻璃（由數層鋁製成，兩層鋁之間是玻璃纖維與黏著劑）
【化】強化玻璃（由數層鋁製成，兩層鋁之間是玻璃纖維與黏著劑）
幸災樂禍
PyDict
鋼筋混凝土
To withstand the impact of earthquakes, you'd better use reinforced concrete in your construction of buildings. 為承受地震的衝擊，鋼筋混凝土是最好的選擇。
鋼筋混凝土
To withstand the impact of earthquakes, you'd better use reinforced concrete in your construction of buildings. 為承受地震的衝擊，鋼筋混凝土是最好的選擇。
IPA[ˌriːɪnˈfɔːs]
增加; 增援
加強,增援,補充求援,得到增援加固物
PyDict"
curry,"KK[ˋkɝɪ]
DJ[ˋkə:ri]
名詞複數：curries
過去式：curried   過去分詞：curried   現在分詞：currying
n.
名詞
咖喱；咖喱粉[U]
咖喱菜肴[C][U]
I like hot curries. 我喜歡吃用咖喱烹調的菜。
vt.
及物動詞
用咖喱燒；給……加咖喱粉[H]
curried chicken 咖喱雞
（指食物）用咖哩粉烹調的
curry的名詞複數
咖哩粉
求寵
咖哩粉
求寵
KK[ˋkɝɪ]
DJ[ˋkə:ri]
梳刷（馬等）
IPA[ˈkʌri]
咖喱菜餚
(a) chicken curry 咖喱雞
a hot/mild curry 濃味／淡味咖喱菜
用咖喱粉燒
curried chicken 咖喱燒雞"
rail,"KK[rel]
DJ[reil]
名詞複數：rails
過去式：railed   過去分詞：railed   現在分詞：railing
n.
名詞
欄杆，扶手；圍欄[C]
He kept his hand on the rail as he climbed the steps. 他攀上臺階時，手不離扶欄。
（門等的）橫木[C]
鐵軌[C]
Hundreds of people were injured when the train went off the rails. 火車出軌時，數百人受傷。
鐵路[U]
He came back by rail. 他是乘火車回來的。
鐵路股票；鐵道網[P]
vt.
及物動詞
給……圍欄杆；用欄杆圍[（+in/out）]
The dangerous trail was railed to protect tourists. 這條危險的小道圍了欄杆，以保護遊客。
用欄杆隔開[（+off）]
They're railed off the yard. 他們把院子用欄杆圍起來了。
The pond was railed off to stop children falling into it. 池塘用柵欄圍起隔開，以防止小孩落水。
給……鋪設軌道
vi.
不及物動詞
乘火車旅行
n. 橫杆，鐵路
n. 欄杆
rail的名詞複數
rail的動詞過去式、過去分詞
鐵路股票
PyDict
抱怨
He's always railing against the government. 他老是抱怨政府。
KK[rel]
DJ[reil]
【動】秧雞[C]
KK[rel]
DJ[reil]
責罵；挑剔；抱怨[（+at/against）]
He is always railing at his bad luck. 他老是抱怨自己運氣不好。
IPA[reɪl]
欄杆; 舷欄
賽馬場圍欄
怒斥
to rail against or at sth. 憤怒抗議某事物
橫杆,圍欄,欄杆,鐵軌,扶手,秧雞以橫木圍欄,鋪鐵軌責罵,抱怨
PyDict"
tactic,"KK[ˋtæktɪk]
DJ[ˋtæktik]
突擊戰術；出人意料的做法
（通常用複數delayed tactics）拖延戰術
突擊戰術；出人意料的做法
（通常用複數delayed tactics）拖延戰術
拖延戰術
IPA[ˈtæktɪk]
策略
a delaying tactic 拖延戰術
戰術
戰略,策略順序的,排列的
PyDict"
sticker,"KK[ˋstɪkɚ]
DJ[ˋstikə]
n.
名詞
尖刀
屠夫
張貼廣告、海報的人
堅持不懈的人
滯銷品
（背面有粘膠的）標籤；貼紙；郵票
【口】難題
汽車保險桿上的貼紙
標價；定價
汽車貼紙
Car stickers can be attached to the bumpers or windows. 汽車貼紙可以貼在防撞桿上或車窗上。
（發現價格比想像的要高得多而產生的）標價震驚；標籤震驚
價格標籤
In this department store, every product has a price sticker on it to tell the customers how much it would cost. 在這家百貨公司裡，每個產品上面都有一個價格標籤讓顧客一看就明白。
汽車保險桿上的貼紙
價格標籤
In this department store, every product has a price sticker on it to tell the customers how much it would cost. 在這家百貨公司裡，每個產品上面都有一個價格標籤讓顧客一看就明白。
汽車貼紙
Car stickers can be attached to the bumpers or windows. 汽車貼紙可以貼在防撞桿上或車窗上。
IPA[ˈstɪkə(r)]
貼紙"
commitment,"KK[kəˋmɪtmənt]
DJ[kəˋmitmənt]
名詞複數：commitments
n.
名詞
託付，交託；委任[U]
下獄；收監[U]
關進精神病院[U]
承諾，保證；承擔的義務[U][C][（+to）]
I felt I did not have to make such a commitment to them. 我覺得我沒有必要對他們作出那樣的承諾。
信奉；支持；獻身[U][C][（+to）]
My aunt has a sincere commitment to Buddhism. 我姑媽篤信佛教。
犯罪，罪行[U][C]
commitment of infanticide 殺嬰罪
commitment的名詞複數
資本承諾；資本承擔
The minimum capital commitment to join the Bank is 100 million U.S. dollars. 參加投資銀行的最低資本承諾是一億美金。
員工承諾
員工承諾
資本承諾；資本承擔
The minimum capital commitment to join the Bank is 100 million U.S. dollars. 參加投資銀行的最低資本承諾是一億美金。
IPA[kəˈmɪtmənt]
承諾
a commitment to sth./to doing sth. or to do sth.  對某事物／做某事的承諾
to take on a commitment to sb.  對某人作出承諾"
diffuse,"KK[dɪˋfjuz]
DJ[diˋfju:z]
過去式：diffused   過去分詞：diffused   現在分詞：diffusing
vt.
及物動詞
使（熱、氣味等）四散，擴散（氣體等）；使滲出
diffuse heat 散發熱
傳播；散布；普及
diffuse knowledge 傳播知識
【物】使（光線）漫射；使擴散
vi.
不及物動詞
四散，擴散；滲出
傳播；散布
【物】漫射；擴散
散布的
diffuse的動詞現在分詞、動名詞
蒼茫
PyDict
KK[dɪˋfjus]
DJ[diˋfju:s]
四散的；擴散的
IPA[dɪˈfjuːz]
使…擴散
to diffuse sth. in sth. 使某物在某物中擴散
擴散
to diffuse in/through sth. 在某處擴散
瀰散的
散播,傳播散開的,彌漫的
PyDict"
decline,"KK[dɪˋklaɪn]
DJ[diˋklain]
過去式：declined   過去分詞：declined   現在分詞：declining
vi.
不及物動詞
下降，下跌；減少；衰退，衰落
As one grows older one's memory declines. 人的記憶力隨著年齡增長而衰退。
Unemployment declined to 4 percent last month. 上個月失業率降至百分之四。
【書】傾斜；下垂
婉拒；謝絕
vt.
及物動詞
婉拒；謝絕[+to-v]
She declined their invitation. 她婉拒了他們的邀請。
She declined to have lunch with her friend, saying that she wasn't feeling well. 她說她身體不舒服，婉拒了與她的朋友共進午餐。
【文】使發生詞尾變化，使變格
n.
名詞
下降；減少[S1]
There is a decline in real wages. 實際薪資有所減少。
衰退，衰落[the S]
最後部分；晚年[the S]
傾斜[the S]
vt. 婉拒；謝絕
vi. 下降；減少；衰落
n. 傾斜；下坡
「vi. & vt. 婉拒；謝絕」的反義字
decline的動詞過去式、過去分詞
在下降
PyDict
朝…傾斜
PyDict
在消減; 在衰退
She is on the decline, and may die soon. 她身體越來越弱, 恐不久於人世。
The number of robberies in the area is on the decline. 這地區的劫案在減少。
在衰退中（的）；在下坡位置（的）
在衰退中（的）；在下坡位置（的）
拒絕提議
PyDict
IPA[dɪˈklaɪn]
下降; 減少
婉拒
to decline to do sth. 婉拒做某事
下降
a (small/steep) decline in sth.  某物的（小幅／急劇）下降
to be on the or in decline  在下降
衰微,跌落,下降使降低,婉謝下降,衰落,偏斜
PyDict"
lump,"KK[lʌmp]
DJ[lʌmp]
名詞複數：lumps
過去式：lumped   過去分詞：lumped   現在分詞：lumping
n.
名詞
團，塊[C][（+of）]
The artist started with a big lump of clay. 藝術家用一大塊黏土開始雕塑。
隆起，腫塊[C]
Vera found a lump in her right breast. 維拉發現右乳有一腫塊。
小方塊；方（糖）；（煤）塊[C][（+of）]
John dropped two lumps of sugar into his coffee. 約翰在咖啡中放入兩塊糖。
【口】粗笨的人，遲鈍的人[C]
一大堆；大量[C][（+of）]
【英】【口】（總稱）（建築行業的）臨時工[the S][G]
【美】【口】責打，懲罰[P]
adj.
形容詞
成塊狀的
整個兒的，總共的
I would like my allowance in a lump sum. 我希望把我的零用錢全數發給我。
vt.
及物動詞
把……弄成一團；把……歸併到一起；把……混為一談[O][（+together）]
You can't lump all these different things together. 你不可以將所有這些不同的事物統統歸併在一起。
笨重地移動；使重重地坐下[（+down/about）]
vi.
不及物動詞
結塊；起疙瘩
The words lumped in her throat. 話在她喉頭哽住了。
笨重地行走；沉重地坐下[（+along/down）]
The old lady was lumping along in the snow. 老婦人在雪中吃力地行走著。
n. 塊狀
lump的動詞現在分詞、動名詞
lump的名詞複數
lump的動詞過去式、過去分詞
【口】勉強地接受討厭的或不想要的事物
If you don't like the decision you'll just have to lump it. 你不喜歡那決定, 也只好勉為其難了。
一次付款額
【主英】= sugar cube
一次付款額
KK[lʌmp]
DJ[lʌmp]
【口】勉強容忍
Like it or lump it, I'm not going to turn my radio off. 不管你是否高興，我不準備把收音機關掉。
IPA[lʌmp]
塊
to get or take one's lumps 吃苦頭
把…歸併在一起
these two things shouldn't be lumped together 這二者不應該混為一談
to lump it 將就"
gracefully,"KK[ˋgresfəlɪ]
DJ[ˋgreisfuli]
IPA[ˈgreɪsfəli]
優雅地
優美地
PyDict"
reciprocity,"KK[͵rɛsəˋprɑsətɪ]
DJ[͵resiˋprɔsiti]
世界互惠主義
世界互惠主義
世界互惠主義
世界互惠主義
IPA[ˌresɪˈprɒsəti]
互惠
there is no reciprocity of trade agreements between the two nations 兩國之間沒有互惠貿易協議
相互性,相互作用,互惠主義
PyDict"
organisation,"KK[͵ɔrgənaɪˋzeʃən]
DJ[͵ɔ:gənaiˋzeiʃən]
組織，機構，團體[C]
It is a non-profit organization. 這是一個非營利性的組織。
organization的名詞複數
機構
組織,結構,團體
PyDict
特許加盟組織（一種契約是垂直行銷系統，為有效服務客戶所組織而成的完整系統）
特許加盟組織（一種契約是垂直行銷系統，為有效服務客戶所組織而成的完整系統）
綜合機構
救濟組織
組織
PyDict"
prey,"KK[pre]
DJ[prei]
過去式：preyed   過去分詞：preyed   現在分詞：preying
n.[U]
不可數名詞
被捕食的動物[S1][（+for/to）]
The deer fell (a) prey to the lion. 那鹿成了獅子的獵物。
The lion was hunting for its prey. 獅子在覓食。
犧牲者；犧牲品[S1][（+for/to）]
She fell (a) prey to lovesickness. 她為相思病所折磨。
She fell (a) prey to melancholy. 她為憂鬱所折磨。
捕食
vi.[
vi.[
捕食，攫食
The owl preys on mice. 貓頭鷹捕食老鼠。
Foxes prey on rabbits. 狐狸獵食兔子。
掠奪，劫掠；詐取
（疾病等）折磨，損害
His anxiety about his father preyed on his mind. 他對父親的掛慮使他內心惴惴不安。
n. 捕獵；被捕食的動物
vi. 捕食，捉
vi. 掠奪，襲擊
vi. 重壓，壓迫；阻礙；妨害
prey的動詞過去式、過去分詞
捕食(動物等)
hawks preying on small birds 捕食小鳥的老鷹
捕食
Cats prey on birds and mice. 貓捕食鳥和鼠。
捕食
Cats prey on birds and mice. 貓捕食鳥和鼠。
捕食,掠奪
PyDict
猛禽；食肉鳥
IPA[preɪ]
被捕食的動物
a bird of prey 猛禽
捕食,掠奪
PyDict"
mandarin,"KK[ˋmændərɪn]
DJ[ˋmændərin]
n.
名詞
柑橘；柑橘樹
（M-）華語；中國的官話（北京話）
（舊時的）官僚；（滿清的）官吏
橘子
【鳥】鴛鴦
【鳥】鴛鴦
橘子
鴛鴦
鴛鴦
PyDict
IPA[ˈmændərɪn]
柑橘
中國官話,國語,滿清官吏,中國柑桔中國式緊身馬褂的
PyDict"
endlessly,"KK[ˋɛndləslɪ]
DJ[ˋendləsli]
IPA[ˈendlɪsli]
無限地
endlessly patient/tolerant 極度耐心的／過度容忍的
不斷地,無窮盡地
PyDict"
dissertation,"KK[͵dɪsɚˋteʃən]
DJ[͵disəˋteiʃən]
名詞複數：dissertations
n.
名詞
（博士學位）論文；（專題）論文；學術演講[（+on/upon/concerning）]
She wrote a dissertation on superrealism. 她寫了一篇關於超現實主義的論文。
dissertation的名詞複數
學位論文
學位論文
IPA[ˌdɪsəˈteɪʃn]
學位論文
a dissertation on sb./sth. 關於某人／某事物的學位論文
論文
PyDict"
ooh,"KK[u]
DJ[u:]
IPA[uː]
嗬
“嗬”的一聲喊叫
oohs and aahs 哎喲喂啊
發出“嗬”聲
to ooh and aah 驚呼"
evolution,"KK[͵ɛvəˋluʃən]
DJ[͵i:vəˋlu:ʃən]
名詞複數：evolutions
n.
名詞
發展，進展[U]
the evolution of modern aircraft 現代飛機的發展
We studied the evolution of flowers from seeds and buds. 我們研究從種籽和花蕾到花的成長過程。
（生物的）進化，演化；進化論[U]
Darwin's theory of evolution 達爾文的進化論
In the course of evolution, some birds have lost the power of flight. 在演化過程中一些鳥失去了飛行的能力。
（氣體的）放出[U]
進化出來的東西[C]
n. 發育，發展
n. 發生，演變
「n. 發展；進化」的反義字
evolution的名詞複數
【生】趨同進化
快速演變
【生】趨同進化
IPA[ˌiːvəˈluːʃn]
進化
U進展,發展
PyDict"
